Sharpe Ratio,Annual Return (%),Max Drawdown (%),Total Trades,Entry APR,Exit APR,Filter Periods,Net Profit,Total Return (%)
0.5809779380613115,1.5573040882106142,0.3977244011204135,5,12,2,3,6.229216352842457,6.229216352842457
0.5798477898621973,1.5540098113718201,0.3977244011204135,5,12,3,3,6.216039245487281,6.216039245487281
0.5798477898621973,1.5540098113718201,0.3977244011204135,5,12,4,3,6.216039245487281,6.216039245487281
0.5584601454879147,1.498567567252163,0.6752328749166452,6,12,2,1,5.994270269008652,5.994270269008652
0.5573323154208887,1.4952805763321493,0.6752328749166452,6,12,4,1,5.981122305328597,5.981122305328597
0.5573323154208887,1.4952805763321493,0.6752328749166452,6,12,3,1,5.981122305328597,5.981122305328597
0.5541521748109897,1.4833110305083892,0.6752328749166452,6,12,2,2,5.933244122033557,5.933244122033557
0.5530218463142672,1.4800259320717153,0.6752328749166452,6,12,3,2,5.920103728286861,5.920103728286861
0.5530218463142672,1.4800259320717153,0.6752328749166452,6,12,4,2,5.920103728286861,5.920103728286861
-0.8405340558563092,-2.364525807730253,9.75725284591482,67,10,2,3,-9.458103230921012,-9.458103230921012
-1.0656110854514045,-2.957925089138996,11.831700356555984,75,10,3,3,-11.831700356555984,-11.831700356555984
-1.1742840968926473,-3.2504054051791726,13.00162162071669,79,10,4,3,-13.00162162071669,-13.00162162071669
-1.4143445865687,-3.916452281536479,15.665809126145916,92,10,2,2,-15.665809126145916,-15.665809126145916
-1.5303649550397864,-4.224016829526615,16.89606731810646,97,8,2,3,-16.89606731810646,-16.89606731810646
-1.6301299191899563,-4.461916827468137,17.84766730987255,100,10,3,2,-17.84766730987255,-17.84766730987255
-1.777040842849138,-4.8463251192702295,19.385300477080918,106,10,4,2,-19.385300477080918,-19.385300477080918
-1.8085082411512756,-4.931176970164493,19.724707880657974,108,8,3,3,-19.724707880657974,-19.724707880657974
-2.048336853821266,-5.544554703339223,22.178218813356892,118,8,4,3,-22.178218813356892,-22.178218813356892
-2.1028209850151267,-5.718552252467845,22.87420900987138,123,8,2,2,-22.87420900987138,-22.87420900987138
-2.374364304601266,-6.378983133304611,25.515932533218443,134,8,3,2,-25.515932533218447,-25.515932533218443
-2.5820511916537496,-6.898219874764042,27.592879499056167,143,8,4,2,-27.592879499056167,-27.592879499056167
-2.6379737969427133,-7.097912176315564,28.391648705262256,148,6,2,3,-28.391648705262256,-28.391648705262256
-2.8684296785529617,-7.6388816937682655,30.555526775073062,159,6,2,2,-30.555526775073062,-30.555526775073062
-2.9917840442557035,-7.952105276506913,31.80842110602765,164,6,3,3,-31.80842110602765,-31.80842110602765
-3.190546296837403,-8.465903631827395,33.86361452730958,176,10,2,1,-33.86361452730958,-33.86361452730958
-3.233425924411821,-8.47764281352191,33.91057125408764,175,6,3,2,-33.91057125408764,-33.91057125408764
-3.353210739557368,-8.81802151029235,35.2720860411694,181,6,4,3,-35.2720860411694,-35.2720860411694
-3.5368451782220123,-9.174309945539871,36.697239782159485,189,6,4,2,-36.697239782159485,-36.697239782159485
-3.569036541008325,-9.316352200420095,37.26540880168038,193,10,3,1,-37.26540880168038,-37.26540880168038
-3.638823784299785,-9.539657612818568,38.15863045127427,199,8,2,1,-38.15863045127427,-38.15863045127427
-3.861891719835161,-9.980730674458774,39.9229226978351,207,10,4,1,-39.9229226978351,-39.9229226978351
-4.005526691884319,-10.379488397014242,41.51795358805697,218,6,2,1,-41.51795358805697,-41.51795358805697
-4.034594998385935,-10.415926261302124,41.663705045208495,218,8,3,1,-41.663705045208495,-41.663705045208495
-4.396760569055685,-11.198116006657303,44.79246402662921,236,8,4,1,-44.79246402662921,-44.79246402662921
-4.451148660761261,-11.32833462402509,45.31333849610036,240,6,3,1,-45.31333849610036,-45.31333849610036
-4.902247128683505,-12.255310459232364,49.021241836929455,263,6,4,1,-49.021241836929455,-49.021241836929455
