Pair,Cointegration %
BTC/USDT / ETH/USDT,5.423204530146931
BTC/USDT / SOL/USDT,5.500536333474693
BTC/USDT / AVAX/USDT,4.467782572903934
BTC/USDT / MATIC/USDT,2.1087783309112273
BTC/USDT / LINK/USDT,2.911168209145109
BTC/USDT / BNB/USDT,1.8385012597600219
BTC/USDT / ADA/USDT,2.846309277321825
ETH/USDT / SOL/USDT,4.263227480230499
ETH/USDT / AVAX/USDT,3.6794970938209395
ETH/USDT / MATIC/USDT,1.5058285148882224
ETH/USDT / LINK/USDT,0.8281986678973233
ETH/USDT / BNB/USDT,4.662359368373787
ETH/USDT / ADA/USDT,0.2918651932047796
SOL/USDT / AVAX/USDT,4.844739071923441
SOL/USDT / MATIC/USDT,4.106242849633592
SOL/USDT / LINK/USDT,9.497582614763495
SOL/USDT / BNB/USDT,6.250311518716043
SOL/USDT / ADA/USDT,6.4546677964412105
AVAX/USDT / MATIC/USDT,4.474196839924554
AVAX/USDT / LINK/USDT,3.1002342620744656
AVAX/USDT / BNB/USDT,4.525743906693914
AVAX/USDT / ADA/USDT,12.26885311269501
MATIC/USDT / LINK/USDT,3.1631674963668406
MATIC/USDT / BNB/USDT,2.0005565690609446
MATIC/USDT / ADA/USDT,5.318326582356761
LINK/USDT / BNB/USDT,19.593281164332353
LINK/USDT / ADA/USDT,15.862533020983902
BNB/USDT / ADA/USDT,19.396401335792255
